"author_id","tweet","username","follower","tweet_clean","emoticon_sentimen_score"
1426182835321200640,"hi! gue ryn, lagi nyari temen mutualan buat ambis snbt/utbk 2023 nie..

about me: 
- call me ryn
- gapyear'22 / soshum
- 04L
- she/her

let's be moots! bantu like &amp; rt ya, thankyou..

#AMBISVERSE #studyacc #studytwt #ambistwt #study","rynsze",68,"h gue ryn cari teman mutualan ambis snbtutbk ini about me call me ryn gapyear soshum sheher lets be moots bantu like rt ya thankyou ambisverse studyacc studytwt ambistwt study",0
1542165585986932736,"nga ngo nga ngo bgt ttg snbt😭😭😭","studyzwthjey",373,"enggak ngo enggak ngo banget tentang snbt😭😭😭",-0.280130293159609
1201116823623569408,"@nadiyatk yang ga bisa snbt diam aja 😔","Dshitdiq",132," enggak snbt diam saja 😔",-0.146058091286307
1381232639730884608,"yuuuk pejuang SNBT 2023 kita mutualan!!!

about me ; 
• u can call me 'adin/dina' 
• 05L 
• angkatan 23
• i like kpop mostly nct

yang lewat ini boleh rt yaa, rep ajaa nanti aku fb #studytwt #studyacc #studytwtph #studymoots #AMBISVERSE #ambistwt","thisadina",321,"yuk juang snbt mutualan about me c call me adindina angkat like kpop mostly nct lewat rt ya rep saja fb studytwt studyacc studytwtph studymoots ambisverse ambistwt",0
1.478134317373e+18,"ya allah akhir2 ini cape banget, baru kerasa capenya pas tugas organisasi, tugas kuliah dan uts, ditambah belajar snbt 🥲

doain semoga soal soal uts nya ga diluar nalar amin 😔☝🏻","mawstrophile",2021,"ya allah akhir capek banget baru rasa cape pas tugas organisasi tugas kuliah uts tambah ajar snbt 🥲 doain moga soal soal uts nya enggak luar nalar amin 😔🏻",-0.146058091286307
1526476091732672512,"@pawwwsh Bismillah lulus snbt🔥","Agimrahman",2,"bismillah lulus snbt🔥",0.139784946236559
1262019246902571008,"@zoldycklee Bisaaa rg dia ada paket khusus snbt, bisa dm yaa🥳","layshop98",16," rg paket khusus snbt dm ya🥳",0
1411162598045716480,"halooo, kalo lewat mau tau dong. kalian pake buku apaa buat persiapan snbt?","naaaauw",320,"halo kalo lewat tau pakai buku apa siap snbt",0
1254668844401954816,"tanya dong, contoh soal snbt udah keluar?","apideul",619,"tanya contoh soal snbt sudah keluar",0
1589549677640552448,"moots! rekomendasiin channel yt/aplikasi buat belajar soal soal snbt, TIA &lt;3","jiestdvy",103,"moots rekomendasi channel ytaplikasi ajar soal soal snbt tia lantai",0
1535249116741390336,"@sbmptnfess Tolong ini bener g si bikin ovt😭 Masa dah ada spoiker soal snbt https://t.co/HKfzD5SpLg","Akukuaku3",0,"tolong benar sih bikin ovt😭 masa deh spoiker soal snbt",-0.0933767643865364
1589499002621657088,"YALLAHH LANCARRR SNBT 2023,
JEBOL JEBOL, OPTIMIZZ😤","yealippp",0,"yallahh lancar snbt jebol jebol optimizz😤",-0.211009174311927
1145123964940718080,"Video Pembahasan SNBT Penalaran Matematika part 32
https://t.co/eCMVQEVvhX","bahassoalfess",45286,"video bahas snbt nalar matematika part",0
