author_id,tweet,username,follower
1247395398836047872,"Tryout AKBAR SNBT 2023 ter-update GRATISSSS 🔥🔥🔥🔥

Hanya untuk 5000 peserta saja guys‼️

Cara daftar dan pengerjaannya,baca👇👇 https://t.co/lARZlgY8UU",CerebrumId,29748
1484099785959575558,"Sosialisasi snbt buruan gt, gantung bgt dah",lyuriss,154
1203275782010761216,feeling dumb turns into kapan ya snbt,ecchinodermatas,1182
1145123964940718080,"📌Video Bahas Soal SNBT / UTBK 2023
📝Penalaran Matematika Part 4

Terinspirasi dari SAT (scholastic aptitude test) subtes Math yang ada di negeri sebrang. 

#studytwt #snbt #ambistwt https://t.co/F9bGQWwVta",bahassoalfess,45286
1463854567615971331,"@sbmptnfess Adaa nder, Ruangguru Privat bisa pesen tutor online mapel kimia, bio atau prepare SNBT📚💖 uda ada yg include to SNBT jugaa

Jamnya bisa nyesuain jadwal sender bgt fleksibel sesuai request, klo kurang oke bisa ganti tutor jugaa😙🫶🏻

Kindly dm/wa di bio, tanya2 dlu bisaa nder",knyfrmnday,419
1463854567615971331,"@sbmptnfess Brain Academy Online buat intensif SNBT uda worth it bgt pake live teaching plus klinik PR nder📚💖 

Apalagi skrg uda ada paket semester genap, pake kodis dri aku makin affordable😱🫣

Boleh ketuk dm buat konsul paket, free trial class sm spill kodisnya nder🌷✨",knyfrmnday,419
1463854567615971331,"@schfess Brain Academy Online si nder bisa live teaching materi SMA kls 12 plus SNBT juga. Tahun lalu ada siswa yg kubantu bisa keterima UTBK jg pake paket ini🤗🤍

Ada free trial class yg bisa dicoba dulu nder. Feel free pake kodisku di paket sem.genap makin murah, ketuk dm yaa🌷✨",knyfrmnday,419
1463854567615971331,"@annhnyv Mjb, bantu saranin Brain Academy Online buat intensif SNBT uda worth it bgt pake live teaching plus klinik PR kak📚💖

Apalagi skrg uda ada paket semester genap, pake kodis dri aku makin murah

Boleh ketuk dm buat konsul paket, free trial class sm spill kode diskonnya kak🌷✨",knyfrmnday,419
1463854567615971331,"Misi misi psps~ mau nginfoin nih Brain Academy Online kini uda ada versi paket semester genapnya🙆🏻‍♀️😻😽💐

Mulai dari buat SD, SMP, SMA, Intensif SNBT, Kedokteran, Kedinasan adaaa, bisa bljr skrg😱🫣🤯

Feel free ketuk dm buat spill kodis&amp;pricelist🎊🎉💫💞✨https://t.co/LoQdrly2Dq",knyfrmnday,419
1142353340069584896,"Day 2

Hari ini gw ngulang materi reproduksi sel salah satunya mitosis, selesai materi lanjut soal 👍🏽

#SNBT2023 #kitabisa #Biology https://t.co/bUhSuMSn5j",sdneyyyyyyy,71
1550726916176777216,"guys, panitia SNBT tuh yg mana ntar? tetap LTMPT kah?",theeselies,82
1445168982139437059,"@selawbgtdg umm aku biasanya nyempet"" in belajar snbt nyaa, tapi aku suka dahuluin tugass, kadang kalo deadline nya masi lama dan aku bisa ngerjain tugas tersebut dalam jangka waktu yang singkat aku banyakin belajar buat snbt nya, atau di jam istirahat juga digunain buat review materi"" 🙌",owreeows,1351
981195653047926784,no offense but keterima SNBT fakultas kedokteran universitas Brawijaya tahun ajaran 2023/2024 actually sucks,felliciaikaaaa,27
1575164172551487489,"daily life routine:
latsol tps(rumah) -ngezencore(bus)-utul/simak(bus)-latsol snbt(bus/pulang)-latsol tka(rumah)",jadidutashampoo,8
3349370172,@filmrinas honorary snbt member,stllmrs_north,5408
1205629250423779328,👨‍🎓 Ada yang les privat online kimia sama bio gitu gak? Atau les privat buat snbt nanti? Kalau ada spill dong,sbmptnfess,541941
1586284848230338560,"@szasupremasy Itu tergantung utbk nya nnti di bulan apa, biasanya kn utul dan simak di laksanakan se sudah utbk/snbt
Nnti juga di update lagi infonya",Exzoeey,17
1531550255811964928,Tp dr skrg harus semangat bljr buat snbt :),bamtyunnzz,2
1529782871635808256,Awal tahun baru fokus belajar materi snbt,asamkonjugasi,94
1439230579455705098,"Rekomen buku buat belajar snbt 2023 dong, please huhuuu",hahhh_hu,17
1590723978028425216,"haloo-!! i'm new at #studytwt and i'm looking for moots

•call me dilla
•she/her, 03l
•gapyear²²
•soshum
•like nct, music, and novel

free tag tryout or about snbt on twt/ig, pls help like/rt ya thank u♡
#studytwt #studyacc #AMBISVERSE",ultragurlie,48
1486991599548923906,@filmrinas tingnan mo pa snbt gdm para naman makita mo di kami nagbibiro baccla,kminjeongfiles,2224
1486991599548923906,@filmrinas naneto walang tiwala samin hahaha payag kayo non mga taga snbt,kminjeongfiles,2224
1590693380102582272,sekarang soal-soal snbt tuh carinya dimana yaa refrensiinya 🥲🥲 masih bingung sistemnya,namiilily,13
1414858102931820544,no offense but keterima Psikologi UGM jalur SNBT 2023 actually sucks https://t.co/yv0nws1nsT,0nednd,35
